ENSG,Degradation_rates
YMR028W,0.08453947
YLR110C,0.06906971
YDR529C,0.06691931
YKL139W,0.05957942
YNL286W,0.05786034
YKL163W;YKL164C,0.05742961
YDR077W,0.05297438
YPL187W,0.04983948
YGR111W,0.04854423
YBR260C,0.04747660
YCL067C;YCR039C;YCR096C,0.04471266
YDR184C,0.03359182
YDR497C,0.03140484
YBR158W,0.02997936
YLR206W,0.02988121
YBR173C,0.02815566
YJL133C-A,0.02777187
YNL327W,0.02727596
YDR146C,0.02590118
YKR013W,0.02536629
YHR152W,0.02480006
YNL036W,0.02474061
YPR065W,0.02343919
YDR309C,0.02299763
YKL096W,0.02262285
YIL123W,0.02240430
YDR369C,0.02237484
YPR119W,0.02234589
YGL219C,0.02161482
YJL157C,0.02161448
YMR297W,0.02067139
YKR042W,0.02063674
YLR190W,0.02059080
YJR015W,0.02057585
YOR342C,0.02057309
YGR055W,0.02024877
YML065W,0.02023684
YML058W,0.01923176
YLR079W,0.01901216
YNL115C,0.01880348
YOR052C,0.01830098
YLR223C,0.01786578
YOR028C,0.01775473
YCL055W,0.01745698
YLR327C,0.01728871
YDR086C,0.01715659
YKL178C,0.01664910
YHL027W,0.01620088
YDL070W,0.01618458
YBR038W,0.01560352
YOR226C,0.01551624
YOR278W,0.01529723
YOR334W,0.01478578
YDL003W,0.01462438
YPL135W,0.01420387
YGR046W,0.01381753
YBR068C,0.01347833
YOR355W,0.01315053
YER056C,0.01299628
YHR057C,0.01284956
YGR106C,0.01283214
YER032W,0.01240559
YCR082W,0.01236037
YPL253C,0.01234760
YDR384C,0.01232202
YGR044C,0.01219209
YHR175W,0.01192038
YJR092W,0.01191448
YKL101W,0.01191051
YDR185C,0.01189761
YKL185W,0.01177127
YLR237W,0.01175101
YOR023C,0.01170188
YDR262W,0.01165783
YCR069W,0.01159254
YFL009W,0.01144696
YOR256C,0.01121863
YER065C,0.01116624
YJL156C,0.01106260
YOR346W,0.01092847
YOL020W,0.01079770
YJR094W-A;YPR043W,0.01071586
YGL021W,0.01055328
YMR011W,0.01033132
YGR243W;YHR162W,0.00987274
YCL058W-A,0.00978991
YPL176C,0.00955604
YHR214C-B,0.00947509
YHR115C,0.00938863
YNL085W,0.00928185
YOL122C,0.00921357
YDR342C;YDR343C,0.00911558
YMR291W,0.00907975
,0.00894026
YEL061C,0.00877312
YEL063C,0.00853193
YGL222C,0.00847139
YER100W,0.00833967
YGR175C,0.00832525
YLL027W,0.00832460
YLR286C,0.00830971
YPR155C,0.00829924
YBL111C;YBL113C;YDR545W;YEL075C;YEL076C;YEL076C-A;YEL077C;YER189W;YER190W;YFL064C;YFL065C;YFL066C;YGR296W;YHL049C;YHL050C;YHR218W;YHR219W;YLR462W;YLR464W;YLR466W;YLR467W;YML133C;YNL339C;YOR396W;YPL283C;YPR202W;YPR203W;YPR204W,0.00827463
YCR005C,0.00823755
YJL158C,0.00820448
YER162C,0.00803737
YAL051W,0.00800556
YNL066W,0.00797761
YNR028W,0.00796686
YDL204W,0.00793767
YNL083W,0.00788134
YML060W,0.00779236
YOR264W,0.00778903
YDL008W,0.00778790
YCL064C,0.00765340
YGR260W,0.00750260
YAR027W,0.00749276
YLR300W,0.00747200
YOL011W,0.00744630
YKL137W,0.00737487
YKR093W,0.00732642
YGR191W,0.00722920
YOR157C,0.00715759
YDR236C,0.00715332
YJL094C,0.00714195
YDR461C-A,0.00713723
YKL125W,0.00696257
YBR238C,0.00692491
YBR202W,0.00690050
YBL042C,0.00681184
YIL140W,0.00676395
YDR219C,0.00676153
YDR217C,0.00662494
YIL135C,0.00648391
YOL019W,0.00646572
YHL048W,0.00644978
YGR141W,0.00637156
