target_id	length	eff_length	est_counts	tpm
YAL069W	315	288	0	0
YAL068W-A	255	228	0	0
YAL068C	363	336	0	0
YAL067W-A	228	201	0	0
YAL067C	1782	1755	27	0.196552
YAL066W	309	282	0	0
YAL065C	387	360	68.2357	2.42158
YAL064W-B	381	354	5.64137	0.203597
YAL064C-A	381	354	0	0
YAL064W	285	258	0	0
YAL063C-A	291	264	0	0
YAL063C	3969	3942	38.5459	0.124925
YAL062W	1374	1347	119.332	1.13183
YAL061W	1254	1227	883	9.19403
YAL060W	1149	1122	4009	45.6492
YAL059C-A	423	396	0	0
YAL059W	639	612	2011	41.9808
YAL058W	1509	1482	997.826	8.60194
YAL056C-A	351	324	10.1744	0.401194
YAL056W	2643	2616	632	3.08652
YAL055W	543	516	439	10.8694
YAL054C	2142	2115	43	0.259745
YAL053W	2352	2325	4727	25.9748
YAL051W	3144	3117	1352	5.54153
YAL049C	741	714	3473	62.1436
YAL048C	1989	1962	612.388	3.98766
YAL047W-A	330	303	3.61169	0.152285
YAL047C	1869	1842	580	4.0228
YAL046C	357	330	1320	51.1034
YAL045C	309	282	126.178	5.71642
YAL044W-A	333	306	1360.82	56.8159
YAL044C	513	486	14789	388.77
YAL043C	2358	2331	3359	18.4102
YAL042C-A	378	351	1046.24	38.0815
YAL042W	1248	1221	6268.76	65.5927
YAL041W	2565	2538	2196	11.0543
YAL040C	1743	1716	828	6.16457
YAL039C	810	783	1922	31.3604
YAL038W	1503	1476	1.05931e+06	9169.07
YAL037C-B	975	948	23643.8	318.638
YAL037C-A	93	66	8	1.54859
YAL037W	804	777	47	0.772799
YAL036C	1110	1083	8069	95.1877
YAL035W	3009	2982	48181.5	206.425
YAL034C-B	354	327	29.0944	1.13671
YAL034W-A	870	843	443.906	6.72749
YAL034C	1242	1215	111	1.16718
YAL033W	522	495	1205	31.1008
YAL032C	1140	1113	936	10.7441
YAL031W-A	309	282	2.38562	0.108079
YAL031C	2283	2256	972.614	5.50797
YAL030W	354	327	1552	60.6364
YAL029C	4416	4389	2255	6.56403
YAL028W	1587	1560	141	1.15474
YAL027W	786	759	307.815	5.18128
YAL026C-A	438	411	27.0249	0.840065
YAL026C	4068	4041	3702.16	11.7046
YAL025C	921	894	3593	51.3463
YAL024C	4308	4281	762	2.27405
YAL023C	2280	2253	20461	116.026
YAL022C	1554	1527	2645	22.1297
YAL021C	2514	2487	6426.86	33.0151
YAL020C	1002	975	596.356	7.81432
YAL019W-A	570	543	17.6436	0.415124
YAL019W	3396	3369	4915.85	18.6418
YAL018C	978	951	3	0.0403024
YAL017W	4071	4044	2460	7.77166
YAL016C-B	186	159	0	0
YAL016C-A	315	288	85.7727	3.80493
YAL016W	1908	1881	14436.2	98.0516
YAL015C	1200	1173	464	5.0537
YAL014C	768	741	1129	19.4655
YAL013W	1218	1191	1895	20.3277
YAL012W	1185	1158	76924	848.678
YAL011W	1878	1851	545.752	3.76685
YAL010C	1482	1455	427	3.74934
YAL009W	780	753	411	6.97327
YAL008W	597	570	2150	48.1896
YAL007C	648	621	7230	148.743
YAL005C	1929	1902	239970	1611.9
YAL004W	648	621	28393.8	584.146
YAL003W	621	594	217170	4670.93
YAL002W	3825	3798	647	2.1764
YAL001C	3483	3456	1574	5.81863
YAR002W	1620	1593	5021	40.2684
YAR002C-A	660	633	8727	176.137
YAR003W	1281	1254	725	7.38636
YAR007C	1866	1839	8990	62.4551
YAR008W	828	801	557	8.88408
YAR009C	3591	3564	66.3392	0.237806
YAR010C	1323	1296	16846.3	166.07
YAR014C	2130	2103	3588	21.7973
YAR015W	921	894	7552	107.923
YAR018C	1308	1281	684	6.82177
YAR019C	2925	2898	454.679	2.00445
YAR019W-A	333	306	1.32145	0.055172
YAR020C	168	141	0	0
YAR023C	540	513	9	0.224138
YAR027W	708	681	1651.49	30.9826
YAR028W	705	678	934.057	17.6008
YAR029W	225	198	10	0.645245
YAR030C	342	315	2	0.0811165
YAR031W	897	870	539.627	7.92437
YAR033W	705	678	518.331	9.76714
YAR035W	2064	2037	155	0.972144
YAR035C-A	81	54	0	0
YAR042W	3567	3540	2926.55	10.5619
YAR047C	321	294	1	0.0434553
YAR050W	4614	4587	22.3027	0.0621181
YAR053W	297	270	6	0.283908
YAR060C	336	309	1	0.0413458
YAR064W	300	273	0	0
YAR066W	612	585	0	0
YAR068W	486	459	2.95103	0.0821391
YAR069C	294	267	0.5	0.0239248
YAR070C	300	273	2	0.093596
YAR071W	1404	1377	10565.1	98.0235
YAR073W	1212	1185	2.63182	0.0283745
YAR075W	474	447	0	0
YBL113C	2379	2352	0	0
YBL113W-A	483	456	4.9725	0.139316
YBL112C	318	291	1.12347	0.0493238
YBL111C	2004	1977	338.915	2.19015
YBL109W	336	309	4.23288	0.175012
YBL108C-A	129	102	3.7504	0.469751
YBL108W	306	279	1	0.0457916
YBL107W-A	105	78	0	0
YBL107C	591	564	728	16.4908
YBL106C	3033	3006	582	2.47357
YBL105C	3456	3429	2237	8.33467
YBL104C	3117	3090	1007	4.16352
YBL103C	1461	1434	1169	10.4149
YBL102W	648	621	2561	52.6875
YBL101C	3354	3327	1629	6.25544
YBL100W-C	120	93	2	0.274749
YBL100W-A	1317	1290	1.71824	0.0170171
YBL100W-B	5313	5286	110.2	0.266346
YBL100C	315	288	505.54	22.426
YBL099W	1638	1611	50529.5	400.718
YBL098W	1383	1356	932	8.78104
YBL097W	2265	2238	901	5.14345
YBL096C	309	282	0	0
YBL095W	813	786	362.85	5.89786
YBL094C	333	306	26.1499	1.09179
YBL093C	663	636	2379	47.7889
YBL092W	393	366	160188	5591.63
YBL091C-A	528	501	711	18.131
YBL091C	1266	1239	9666	99.6702
YBL090W	534	507	1287	32.431
YBL089W	1380	1353	564	5.32563
YBL088C	8364	8337	363	0.556271
YBL087C	414	387	65924.5	2176.34
YBL086C	1401	1374	976	9.07513
YBL085W	2943	2916	3313.95	14.5194
YBL084C	2277	2250	665	3.77597
YBL083C	426	399	9.47134	0.303269
YBL082C	1377	1350	1919.53	18.1656
YBL081W	1107	1080	1191.74	14.0977
YBL080C	1626	1599	390	3.11606
YBL079W	4509	4482	3760	10.7178
YBL078C	354	327	878	34.3034
YBL077W	432	405	93.987	2.96485
YBL076C	3219	3192	61333	245.483
YBL075C	1950	1923	35.002	0.232543
YBL074C	1068	1041	392.393	4.81571
YBL073W	312	285	6.60738	0.296193
YBL072C	603	576	161646	3585.36
YBL071C-B	99	72	0	0
YBL071W-A	249	222	1557	89.6036
YBL071C	309	282	7	0.317131
YBL070C	321	294	95.599	4.15428
YBL069W	1290	1263	2839.4	28.7219
YBL068W-A	237	210	0	0
YBL068W	981	954	3227	43.2156
YBL067C	2244	2217	1188	6.84606
